domain,stage,cohort,arm,metric,training_pass,optimizer_step,seed_43,seed_44,seed_45,seed_46,seed_47,mean,min,max,is_terminal,is_complete_12
MathIR action menu,A,mie70,verified_first_global_replay_canonical,pass8,6,2304,0.75390625,0.7578125,0.783203125,0.685546875,0.822265625,0.760546875,0.685546875,0.822265625,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,distinct8,6,2304,0.775390625,0.763671875,0.80859375,0.697265625,0.8828125,0.785546875,0.697265625,0.8828125,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,greedy,9,3456,0.6796875,0.6796875,0.7890625,0.75,0.78125,0.7359375,0.6796875,0.7890625,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,mean8,9,3456,0.652587890625,0.65966796875,0.7529296875,0.720458984375,0.752197265625,0.707568359375,0.652587890625,0.7529296875,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,pass8,9,3456,0.78515625,0.814453125,0.87890625,0.880859375,0.859375,0.84375,0.78515625,0.880859375,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,distinct8,9,3456,0.82421875,0.8828125,0.921875,0.912109375,0.962890625,0.90078125,0.82421875,0.962890625,0,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,greedy,12,4608,0.7890625,0.7265625,0.8125,0.6875,0.8125,0.765625,0.6875,0.8125,1,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,mean8,12,4608,0.73291015625,0.69580078125,0.7841796875,0.6748046875,0.788818359375,0.735302734375,0.6748046875,0.788818359375,1,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,pass8,12,4608,0.826171875,0.87890625,0.9140625,0.806640625,0.908203125,0.866796875,0.806640625,0.9140625,1,1
MathIR action menu,A,mie70,verified_first_global_replay_canonical,distinct8,12,4608,0.849609375,0.96875,0.98828125,0.845703125,0.9765625,0.92578125,0.845703125,0.98828125,1,1
PantryPlan,B,ppe71,grpo,greedy,0,0,0.359375,0.359375,0.40625,0.40625,0.40625,0.3875,0.359375,0.40625,0,1
PantryPlan,B,ppe71,grpo,mean8,0,0,0.3447265625,0.3447265625,0.3427734375,0.3427734375,0.3427734375,0.3435546875,0.3427734375,0.3447265625,0,1
PantryPlan,B,ppe71,grpo,pass8,0,0,0.900390625,0.900390625,0.90234375,0.90234375,0.90234375,0.9015625,0.900390625,0.90234375,0,1
